Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Imatra,26625,26329,26042,25761,25484,25207,24938,24671,24413,24167,23922,23681,23444,23211,22983,22761,22542,22327,22117,21913,21715,21523
Parikkala,4718,4601,4491,4388,4289,4196,4110,4025,3946,3870,3796,3727,3656,3589,3525,3463,3404,3349,3296,3243,3195,3148
Rautjärvi,3263,3198,3134,3074,3019,2966,2913,2863,2815,2771,2728,2685,2647,2607,2570,2534,2499,2466,2433,2400,2369,2340
Ruokolahti,5030,4963,4897,4829,4762,4696,4632,4569,4509,4448,4389,4332,4280,4229,4179,4131,4085,4042,3998,3957,3915,3875
MK10 Etelä-Savo,142943,141332,139766,138252,136780,135361,133969,132635,131333,130056,128829,127605,126421,125252,124096,122957,121834,120729,119649,118582,117543,116522
Mikkeli,70741,70252,69780,69321,68867,68421,67973,67538,67107,66677,66263,65842,65431,65016,64594,64168,63739,63308,62882,62453,62034,61619
Hirvensalmi,2108,2068,2029,1997,1966,1937,1908,1883,1859,1834,1812,1788,1766,1745,1722,1703,1682,1660,1641,1624,1607,1592
Kangasniemi,5370,5300,5232,5168,5106,5044,4984,4926,4869,4814,4761,4711,4663,4613,4565,4517,4472,4430,4390,4351,4313,4278
Mikkeli,53567,53316,53069,52820,52568,52314,52056,51798,51537,51276,51018,50753,50490,50220,49943,49658,49367,49070,48771,48467,48166,47868
Mäntyharju,5840,5761,5687,5616,5550,5488,5427,5369,5313,5256,5203,5152,5101,5052,5003,4955,4908,4862,4817,4773,4731,4688
Pertunmaa,1687,1661,1640,1618,1596,1576,1555,1536,1519,1502,1487,1472,1458,1446,1434,1423,1412,1402,1391,1382,1374,1366
Puumala,2169,2146,2123,2102,2081,2062,2043,2026,2010,1995,1982,1966,1953,1940,1927,1912,1898,1884,1872,1856,1843,1827
Savonlinna,43672,42976,42294,41625,40982,40371,39775,39212,38666,38135,37624,37122,36644,36172,35716,35273,34837,34417,34006,33606,33218,32841
Enonkoski,1386,1369,1352,1333,1316,1300,1283,1269,1254,1239,1224,1207,1191,1175,1161,1148,1134,1121,1110,1098,1086,1077
Heinävesi,3262,3198,3135,3073,3015,2963,2912,2866,2820,2775,2734,2694,2658,2622,2587,2556,2526,2498,2469,2444,2419,2394
Rantasalmi,3448,3384,3324,3267,3213,3163,3114,3068,3025,2982,2941,2900,2860,2820,2783,2745,2710,2677,2643,2611,2580,2550
Savonlinna,33102,32603,32110,31626,31156,30704,30266,29843,29433,29035,28651,28278,27918,27567,27224,26889,26557,26235,25922,25615,25316,25025
Sulkava,2474,2422,2373,2326,2282,2241,2200,2166,2134,2104,2074,2043,2017,1988,1961,1935,1910,1886,1862,1838,1817,1795
Pieksämäki,28530,28104,27692,27306,26931,26569,26221,25885,25560,25244,24942,24641,24346,24064,23786,23516,23258,23004,22761,22523,22291,22062
Joroinen,4741,4671,4597,4526,4456,4389,4325,4262,4204,4145,4088,4033,3978,3929,3880,3832,3788,3744,3702,3662,3623,3583
Juva,6127,6034,5943,5861,5779,5701,5624,5549,5476,5406,5339,5270,5201,5135,5069,5005,4943,4883,4824,4765,4710,4657
Pieksämäki,17662,17399,17152,16919,16696,16479,16272,16074,15880,15693,15515,15338,15167,15000,14837,14679,14527,14377,14235,14096,13958,13822
MK11 Pohjois-Savo,244648,243694,242765,241848,240941,240044,239130,238233,237335,236422,235503,234558,233609,232621,231616,230570,229502,228408,227285,226137,224967,223779
Ylä-Savo,52952,52301,51676,51072,50485,49909,49346,48797,48265,47739,47221,46713,46224,45741,45275,44811,44361,43916,43479,43053,42634,42217
Iisalmi,21286,21103,20923,20752,20585,20418,20254,20093,19932,19771,19607,19444,19286,19126,18966,18805,18647,18488,18330,18174,18015,17858
Keitele,2210,2177,2148,2118,2093,2067,2040,2017,1995,1971,1949,1926,1903,1881,1859,1836,1815,1791,1769,1746,1726,1704
Kiuruvesi,8000,7854,7714,7581,7454,7331,7210,7094,6983,6875,6772,6673,6577,6484,6394,6307,6222,6139,6055,5976,5898,5821
Lapinlahti,9510,9404,9300,9200,9098,8998,8897,8799,8702,8605,8510,8420,8332,8246,8166,8085,8006,7931,7859,7788,7720,7652
